cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
5847,0.24573,0.539154,33.9107,45.3979
5849,0.417725,1.02243,38.4307,80.4152
5851,0.756952,2.09795,58.7899,162.941
5852,2.73846,4.89333,65.723,115.865
5855,0,0,129.651,215.817
5856,0,0,132.921,368.402
5857,0,0,61.8446,118.594
5858,10.1786,28.2108,157.768,437.267
5859,0,0,144.573,400.695
5860,2.25771,3.9322,113.208,177.11
5861,0,0,8.57783,22.7302
5862,0,0,56.3765,135.81
5863,3.17811,7.84745,50.8498,125.559
5865,0,0,29.1495,38.719
5866,1.8863,4.55123,132.041,261.255
5867,0,0,216.751,600.744
5871,0,0,61.9103,127.343
5872,0,0,13.4887,22.1528
5878,0,0,59.4017,150.122
5883,0,0,523.841,1451.87
5885,0,0,72.6384,201.323
5889,0.505151,1.08738,63.649,83.762
5890,0,0,15.1681,42.0396
5891,0,0,77.9032,215.915
5892,0,0,14.8339,26.1632
5893,1.41339,2.1599,44.3647,54.6835
5894,1.79701,4.58883,32.3461,82.599
5895,2.02286,3.30924,86.6939,90.5931
5896,3.30831,7.3953,93.9561,173.197
5899,0,0,76.6414,212.418
5901,0,0,13.806,38.2644
5903,3.65734,7.29571,97.8338,198.21
5905,0.254981,0.566907,31.1077,44.3808
5915,10.6023,29.3852,212.046,587.704
5917,0,0,51.7929,68.9781
5921,0,0,27.4826,66.4385
5923,0,0,12.2773,29.1972
5924,0.796512,1.72563,92.3954,143.104
5925,0,0,56.7137,144.294
5926,0,0,39.6037,109.765
5927,1.37721,3.35851,56.1214,136.859
5928,0,0,119.415,154.183
5929,2.32301,4.36697,58.739,104.79
5930,3.18012,7.12659,42.586,95.4344
5933,1.46857,3.26119,77.1,119.604
5934,0.378903,0.854356,50.0151,81.1425
5937,0,0,203.506,564.033
5939,0,0,285.887,792.36
5940,1.56634,1.82837,74.7494,66.9599
5941,3.63991,10.0883,181.996,504.416
5943,0,0,19.3584,38.4608
5946,0.495027,1.07909,33.3318,45.9024
5949,0,0,218.149,604.617
5951,1.93439,4.00425,112.195,223.542
5955,0.189186,0.26613,21.7564,24.019
5963,1.00684,1.80036,44.3008,68.7719
5965,0.412799,0.888606,30.9599,43.0037
5966,0.901837,1.91997,78.9108,99.4747
5967,0,0,138.18,222.661
5970,0.973462,2.20829,22.998,37.6346
5971,2.57372,3.52899,62.5611,68.7489
5975,0,0,115.226,319.359
5976,1.84759,3.72146,46.4537,93.5405
5979,0,0,28.2318,78.2467
5980,3.60726,6.04878,165.934,224.084
5982,2.93757,5.87039,141.003,271.991
5983,0,0,48.0063,108.158
5986,0,0,54.9947,78.0207
5987,0.183521,0.403545,27.5281,48
5989,0,0,58.5844,98.4434
5991,3.51713,8.64432,112.548,228.496
5993,0.307797,0.640852,35.2428,37.2841
5998,2.9048,6.73735,75.5247,155.662
6002,0,0,26.0215,50.6719
6003,0.398541,0.885732,107.207,141.682
6005,0,0,51.3623,100.179
6008,0,0,133.811,370.869
6010,3.15785,7.4635,162.773,337.763
6012,3.20765,6.1154,85.0026,124.054
6013,3.68856,7.9627,110.992,225.952
6014,3.14096,5.10445,117.786,153.969
6015,0.521204,0.722725,35.2464,27.6849
6016,0.56299,1.40271,18.5787,46.2893
6017,1.34482,1.5733,47.0687,51.9268
6018,0.737598,0.945589,30.7109,29.1542
6020,1.26584,2.00747,38.4814,61.9167
6022,3.71291,10.2906,241.339,668.891
6024,3.56679,6.49638,88.6601,152.875
6030,0,0,27.9616,70.9771
6032,0.269394,0.583645,14.5473,23.0569
6033,0.488934,1.17609,38.1369,73.7428
6034,3.08449,4.11402,56.9088,58.9292
6035,1.04245,1.96412,37.1806,70.2139
6036,1.46028,2.50593,56.9508,82.9389
6037,0.539268,1.20556,68.487,101.021
6041,0.711786,1.3204,54.0958,82.5698
6042,1.03454,2.33631,36.5539,57.5684
6044,0,0,6.02486,12.0949
6045,0.789404,0.890973,34.0837,30.2327
6049,0.0968205,0.218008,15.8786,24.2373
6052,0.265633,0.659632,13.016,25.4106
6053,0,0,9.49071,26.3043
6056,3.65723,8.96832,95.088,233.176
6060,0,0,154.345,271.771
6062,1.80353,4.38998,49.5971,105.793
6063,0,0,112.657,312.237
6064,0.720924,1.7177,25.2324,60.1195
6068,0,0,32.669,61.2289
6071,0,0,30.2819,62.3217
6073,0,0,132.782,368.017
6074,0,0,9.02284,21.1803
6078,0,0,1.76189,4.322
6079,0,0,135.952,376.802
6080,0.546426,1.17855,90.7067,119.848
6081,0,0,12.9531,35.9005
6083,3.88927,10.7794,198.353,549.751
6087,0,0,83.1621,230.49
6089,0,0,196.352,544.207
6099,2.72205,4.09988,130.746,183.502
6101,0,0,97.6111,127.826
6103,6.45951,17.9031,138.88,384.916
6104,0,0,12.3323,15.6312
6105,0,0,14.263,27.7358
6107,0,0,197.878,417.97
6114,0.786977,1.20513,40.267,47.9717
6115,0.438398,0.756509,25.5367,41.2232
6116,0.287024,0.64307,13.4901,30.2243
6118,1.91582,3.49102,37.6777,69.6436
6119,0,0,297.425,824.339
6120,0,0,224.617,622.546
6129,5.9468,15.2422,131.821,311.606
6131,0,0,137.475,281.283
6132,0,0,81.3336,225.423
6135,1.2952,2.95112,79.8707,131.169
6137,0,0,73.1634,163.843
6139,1.62381,2.67452,113.396,125.682
6141,0.161346,0.377447,27.1061,44.6792
6147,5.93303,16.4439,97.895,271.324
6149,0,0,25.3994,64.2214
6150,0,0,28.3044,54.6529
6151,4.6628,12.9233,149.21,413.547
6152,0,0,122.809,340.374
6154,6.23806,17.2893,170.507,472.574
6160,2.84315,7.88002,150.687,417.641
6170,0.836408,1.33795,38.5584,46.9045
6173,0,0,46.0836,112.005
6174,0,0,143.578,397.937
6175,0,0,8.34234,19.8769
6178,4.52439,9.75614,104.061,211.956
6179,9.7192,26.9376,223.542,619.564
